analysis_id,5a8wxq7c8p5unxn
parameter_id,MGP_CSD_015_001
pvalue,0.6068202
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Head coat/hair presence
gene_symbol,Morn5
