analysis_id,b382h7hhkm0me98
parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
pvalue,0.7995851
gene_accession_id,MGI:2446274
mouse_strain,C57BL
