parameter_name,Dark side time spent
gene_symbol,Lcn2
gene_accession_id,MGI:96757
pvalue,0.7232023
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
analysis_id,e07ien4j857t036
mouse_strain,C57BL
