analysis_id,101rd9y3126bk60
gene_symbol,Nanp
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,IMPC_XRY_025_001
pvalue,0.4445371
gene_accession_id,MGI:1914561
parameter_name,Tibia
