analysis_id,6525829x35q791w
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_accession_id,MGI:2441730
pvalue,0.2661785
gene_symbol,Tbl1xr1
parameter_id,ESLIM_001_001_117
parameter_name,eye size
