analysis_id,7137f8t4d94vz5u
mouse_strain,C57BL
pvalue,0.1252939
parameter_name,Neural tube closure
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_027_001
gene_symbol,Eprs1
