parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
pvalue,0.3380607
gene_symbol,Rab17
analysis_id,2n3440eqx7v7pb1
