analysis_id,040907lobh002f8
pvalue,0.8790026
gene_accession_id,MGI:3650254
parameter_name,Body Weight
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
gene_symbol,Zfp683
