analysis_id,z2303r677tz2228
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Kdm4c
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
pvalue,0.8738382
gene_accession_id,MGI:1924054
