parameter_name,Aspartate aminotransferase
mouse_life_stage,E9.5
gene_symbol,Eprs1
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
pvalue,0.4893488
gene_accession_id,MGI:97838
analysis_id,4agw332nwr20fh2
