parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Secisbp2l
pvalue,0.3989997
analysis_id,e75r891c1417k67
gene_accession_id,MGI:1917604
