gene_symbol,Kifap3
analysis_id,2y5z09kt1ih42w5
pvalue,0.2003626
parameter_name,Heart weight
gene_accession_id,MGI:107566
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
