parameter_name,PP1 startle magnitude
mouse_life_stage,Early adult
pvalue,0.8441104
analysis_id,413x714mp32xlzl
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
gene_accession_id,MGI:1860103
gene_symbol,Slc2a8
