gene_symbol,Dcaf12
parameter_id,MGP_CSD_015_001
pvalue,0.3814125
parameter_name,Head coat/hair presence
analysis_id,7cr1347772ic7g4
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
