gene_symbol,Rab22a
pvalue,0.7902014
gene_accession_id,MGI:105072
parameter_name,Lymphocyte differential count
analysis_id,vu7yh64489anlof
parameter_id,IMPC_HEM_031_001
mouse_strain,C57BL
mouse_life_stage,Early adult
