parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
gene_symbol,Slc45a3
mouse_strain,C57BL
pvalue,0.6702868
analysis_id,g7e46x33lgy1132
gene_accession_id,MGI:1922082
