analysis_id,en1h0h77lq66282
mouse_life_stage,Early adult
pvalue,0.6435277
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_symbol,Casq1
parameter_id,MGP_IMM_094_001
mouse_strain,C57BL
gene_accession_id,MGI:1309468
