analysis_id,251z80424y15312
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Early adult
gene_symbol,Trim46
pvalue,0.5420994
gene_accession_id,MGI:2673000
parameter_name,Lens
