analysis_id,42l2h4kee0v149n
mouse_strain,C57BL
gene_symbol,Sgip1
parameter_name,Glucose
parameter_id,IMPC_CBC_018_001
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
pvalue,0.3997665
