gene_symbol,Slc45a3
parameter_name,ST
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,kmdf87dgh437944
pvalue,0.2228738
gene_accession_id,MGI:1922082
