analysis_id,naat93321vk724y
pvalue,0.8481699
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
gene_symbol,Tubb4b
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
