gene_symbol,Lpgat1
parameter_id,MGP_PBI_018_001
analysis_id,8677f29j1p8q5e7
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
pvalue,0.5456296
