parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
analysis_id,0o459wm1iw24px9
pvalue,0.7840396
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - Global
gene_accession_id,MGI:109356
gene_symbol,Snap23
