gene_symbol,Rufy4
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
analysis_id,n7h77oo8u00bk06
parameter_name,Facial Morphology
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
pvalue,0.3724925
