gene_symbol,Ncaph
mouse_strain,C57BL
pvalue,0.6344664
analysis_id,x7p5xh36a9r9e5r
parameter_id,IMPC_XRY_027_001
mouse_life_stage,Early adult
parameter_name,Joints
gene_accession_id,MGI:2444777
