analysis_id,j44vwbk61x3y5a5
parameter_id,IMPC_CBC_001_001
pvalue,0.7557817
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,Sodium
