gene_symbol,Trp53i11
mouse_life_stage,Early adult
pvalue,0.5551195
analysis_id,d4xe5mwa3025s18
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
parameter_name,Cleft palate
gene_accession_id,MGI:2670995
