analysis_id,5v8p58nzl0ep737
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Mapkap1
pvalue,0.0843212
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
parameter_id,MGP_MLN_005_001
mouse_strain,C57BL
