gene_symbol,Pld1
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
mouse_strain,C57BL
pvalue,0.6148533
analysis_id,ff54n69l11evmx8
parameter_name,Creatinine
parameter_id,JAX_URI_002_001
