parameter_name,HRV
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
analysis_id,c4642p545864g05
gene_symbol,Tbl1xr1
mouse_strain,C57BL
gene_accession_id,MGI:2441730
pvalue,0.9589146
