analysis_id,8726nj3d75273e7
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_life_stage,Early adult
pvalue,0.7768537
parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
mouse_strain,C57BL
