analysis_id,865g8op6590s613
mouse_strain,C57BL
gene_symbol,Sgip1
pvalue,0.4318864
Mouse_life_stage,Early adult
Gene_accession_id,MGI:1920344
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
