parameter_id,IMPC_CBC_053_001
parameter_name,Thyroxine
pvalue,0.9461693
analysis_id,7hrgbalbr5ijpv9
mouse_strain,129SV
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
