parameter_id,IMPC_GPP_004_001
pvalue,0.1284075
parameter_name,Placenta Size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
analysis_id,2p08t173p1i0f19
gene_symbol,Gpbp1l1
