parameter_name,Prepulse inhibition - PP4
pvalue,0.8657578
gene_symbol,Nanp
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
analysis_id,889n22zi21i7dq6
