parameter_name,Iron
mouse_strain,C57BL
analysis_id,15s6n467djypf5b
mouse_life_stage,E9.5
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,IMPC_CBC_011_001
pvalue,0.8436876
