analysis_id,ev4016z2dtawtmj
parameter_name,Lens Opacity
pvalue,0.3026654
gene_accession_id,MGI:95457
mouse_strain,C3H
gene_symbol,Mecom
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Early adult
