analysis_id,uie206tpv972fzw
parameter_name,UIBC (unsaturated iron binding capacity)
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
gene_symbol,Pld1
parameter_id,IMPC_CBC_024_001
pvalue,0.8409134
mouse_strain,C57BL
