analysis_id,6cuyxp9874bzuzv
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ufc1
pvalue,0.8392314
gene_accession_id,MGI:1913405
parameter_id,HRWLLA_CBC_014_001
