gene_symbol,Fpgs
mouse_strain,C57BL
analysis_id,801tab8l17zr3gz
gene_accession_id,MGI:95576
parameter_name,Lean mass
mouse_life_stage,Early adult
pvalue,0.4496326
parameter_id,IMPC_DXA_003_001
