parameter_name,QT
analysis_id,ji5ah2x4908o8el
gene_symbol,Mecom
gene_accession_id,MGI:95457
pvalue,0.6468513
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
