parameter_name,Embryo Size
gene_symbol,Bcs1l
parameter_id,IMPC_GEO_019_001
mouse_strain,C57BL
analysis_id,9w41io06p08hi49
gene_accession_id,MGI:1914071
pvalue,0.7676104
mouse_life_stage,E12.5
