gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,Head coat/hair presence
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
analysis_id,k84u393g5h53c60
pvalue,0.07929978
