parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
analysis_id,8509ee39h3109uj
gene_symbol,Tox
pvalue,0.9559465
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
