parameter_name,Edema
mouse_strain,C57BL
analysis_id,z36268d77i69b15
mouse_life_stage,Early adult
gene_symbol,Psd4
pvalue,0.07671789
gene_accession_id,MGI:2674093
parameter_id,IMPC_GEO_064_001
