gene_symbol,Nr0b2
parameter_id,IMPC_CBC_013_001
parameter_name,Alanine aminotransferase
analysis_id,uda111k44jf1bng
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.712918
gene_accession_id,MGI:1346344
