gene_symbol,Pex19
parameter_name,110dB startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_006
mouse_life_stage,E18.5
analysis_id,90m69trq831c64w
gene_accession_id,MGI:1334458
pvalue,0.6470009
