parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Tiprl
parameter_id,MGP_CSD_025_001
analysis_id,mb592y09kh5esi2
pvalue,0.6364994
gene_accession_id,MGI:1915087
