parameter_name,Lean/Body weight
analysis_id,kl0d210024c29t5
gene_symbol,Lpgat1
pvalue,0.9626243
mouse_life_stage,Late adult
parameter_id,JAXLA_DXA_008_001
gene_accession_id,MGI:2446186
mouse_strain,C57BL
