analysis_id,51d8a0043z4wf5l
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
parameter_name,Respiration Rate
pvalue,0.285449
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_strain,C57BL
