analysis_id,y61w8cpq14ej287
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
mouse_strain,C57BL
gene_symbol,Tnfsf8
parameter_id,MGP_PBI_010_001
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.3845585
