analysis_id,x7mn04be3i7vgw4
parameter_name,Whole arena resting time
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
pvalue,0.3199779
parameter_id,JAXLA_OFD_007_001
gene_symbol,Tiprl
