analysis_id,s93c8d3w37z25bz
mouse_life_stage,E9.5
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.9909545
gene_symbol,Orc2
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:1328306
mouse_strain,C57BL
