analysis_id,78ii00u812ll9o0
parameter_id,IMPC_DXA_010_001
pvalue,0.267104
parameter_name,Bone Area
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
