gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
pvalue,0.3251732
parameter_name,Skull shape
analysis_id,njw4d23hgo2t3l9
