parameter_name,HR
gene_accession_id,MGI:1338022
mouse_strain,C57BL
analysis_id,tpqu269ru1hl452
mouse_life_stage,Early adult
parameter_id,JAXLA_ECG_002_001
gene_symbol,Opn3
pvalue,0.2112446
