parameter_name,End-Diastolic Diameter
gene_symbol,Sema6c
analysis_id,t43gt7385u88209
pvalue,0.6224072
mouse_strain,C59BL
parameter_id,IMPC_ECH_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
