gene_symbol,Serinc3
parameter_name,Weight
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
analysis_id,71v4007ffe3y043
gene_accession_id,MGI:1349457
mouse_strain,C57BL
pvalue,0.5181821
