parameter_id,HRWLLA_GRS_010_001
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
analysis_id,kusbu5cj59716g6
pvalue,0.7142353
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
