analysis_id,rznz03461f43exh
mouse_life_stage,Early adult
gene_symbol,Psd4
mouse_strain,C57BL
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:2674093
pvalue,0.08618596
parameter_name,UIBC (unsaturated iron binding capacity)
