parameter_name,NK cell number
gene_accession_id,MGI:1860103
parameter_id,MGP_PBI_027_001
analysis_id,2t6n36u1a948kt8
mouse_life_stage,Early adult
pvalue,0.4654611
gene_symbol,Slc2a8
mouse_strain,C57BL
