analysis_id,vpc4292u45brg78
gene_symbol,Dmap1
parameter_id,JAX_OFD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
parameter_name,Percentage center time
mouse_strain,C57BL
pvalue,0.3770312
