analysis_id,x499c74bo7x90vj
parameter_id,IMPC_IMM_032_001
parameter_name,CD8 CD44+CD62L- T cells
mouse_strain,C57BL
pvalue,0.7801278
gene_symbol,Slx4ip
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
