gene_symbol,Cmpk1
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
mouse_strain,C57BL
analysis_id,31ww29y24udd0tt
pvalue,0.6113563
